,OBJECTID,bldg_num,prg_num,name,address,class,category,x,y,grades,zipcode,type,GlobalID,lon,lat
141,142,4,4,Steuart Hill Academic Academy,30 S Gilmor Street,PK - 5, ,0,0,PK - 5,21223,Traditional,90e8d20e-1149-4d02-957c-7c2e1f32013e,-76.64221516005556,39.28712640693595
142,143,181,422,New Era Academy,2700 Seamon Avenue,6 - 12, ,0,0,6 - 12,21225,Traditional,c6e94d09-51cf-42df-ab78-cbff4a36f566,-76.62077656192488,39.25361812801161
143,144,13,13,Tench Tilghman Elementary/Middle,600 N Patterson Park Avenue,PK - 8, ,0,0,PK - 8,21205,Traditional,abe7c424-072f-438a-81ae-2a32e507b559,-76.585195,39.297745
144,145,232,232,Thomas Jefferson Elementary/Middle,605 Dryden Drive,PK - 8, ,0,0,PK - 8,21229,Traditional,ab4d8637-eae2-4e53-9fa1-be10149be8d8,-76.69720697204002,39.29536485
145,146,373,373,Tunbridge Public Charter School,5504 York Road,PK - 8, ,0,0,PK - 8,21212,Charter,74c79357-3816-472f-8644-864405829224,-76.610081,39.35696046938776
146,147,226,226,Violetville Elementary/Middle,1207 Pine Heights Avenue,PK - 8, ,0,0,PK - 8,21229,Traditional,75fab8f1-cf86-42f4-838c-6c2b303d8d32,-76.673635,39.2670944
147,148,411,364,Bluford Drew Jemison STEM Academy West,1500 Harlem Avenue,6 - 12, ,0,0,6 - 12,21217,Traditional,d6cbbbd9-fec6-4159-b6b1-97e52145ea38,-76.6414358,39.2971713
148,149,134,134,Walter P. Carter Elementary/Middle,820 E 43rd Street,PK - 8, ,0,0,PK - 8,21212,Traditional,0df8437d-f351-4927-8a06-23c5859bfcbe,-76.60461885321531,39.34242814968108
149,150,51,51,Waverly Elementary/Middle,3400 Ellerslie Avenue,PK - 8, ,0,0,PK - 8,21218,Traditional,c8a2288b-20b3-4ebb-bd07-c1c31cb48cde,-76.603711,39.330718
150,151,407,407,Western High,4600 Falls Road,9 - 12, ,0,0,9 - 12,21209,Traditional,f9257743-3018-44e7-95ae-3690fff2e163,-76.642172,39.348965
151,152,225,225,Westport Academy,2401 Nevada Street,PK - 8, ,0,0,PK - 8,21230,Traditional,088efed0-76aa-48aa-bf7e-2aeec4de777f,-76.63764234545934,39.262117849999996
152,153,79,325,ConneXions: A Community Based Arts School,2801 N Dukeland Street,6 - 12, ,0,0,6 - 12,21216,Charter,3d938680-4d71-4421-843f-be3217b03c4c,-76.66518824178094,39.32172070744879
153,154,83,83,William Paca Elementary,200 N Lakewood Avenue,PK - 5, ,0,0,PK - 5,21224,Traditional,f24b5998-f849-4c05-8728-9425267710d0,-76.579301,39.294582
154,155,301,301,William S. Baer School,2001 N Warwick Avenue,PK - 12, ,0,0,PK - 12,21216,Separate Public Day,b1d79196-d051-4533-ba85-230b4cad0b2f,-76.65664466256592,39.31087545
155,156,87,87,Windsor Hills Elementary/Middle,4001 Alto Road,PK - 8, ,0,0,PK - 8,21216,Traditional,b51c5d05-bc2f-4263-9fc3-0615a7d68c4a,-76.6831244,39.3165217
156,157,209,375,Baltimore Collegiate School for Boys,900 Woodbourne Avenue,4 - 7, ,0,0,4 - 8,21212,Charter,cdc5f6b6-3eba-4fb4-bc36-8137f73e403d,-76.6015613,39.3548795
157,158,209,357,Banneker Blake Academy for Arts and Sciences,1101 Winston Ave,6 - 7, ,0,0,6 - 8,21212,Charter,9965d86f-d13e-435b-a06f-5358554c201b,-76.60045509114839,39.348700949999994
158,159,23,23,Wolfe Street Academy,245 S Wolfe Street,PK - 5, ,0,0,PK - 5,21231,Charter,27376759-7316-4943-b8b1-5cafb620f313,-76.5901957755102,39.28866502040816
159,160,205,205,Woodhome Elementary/Middle,7300 Moyer Avenue,PK - 8, ,0,0,PK - 8,21234,Traditional,20b8dd71-1e33-4fae-8aef-49e6f5be448a,-76.54117240246697,39.3666777
160,161,219,219,Yorkwood Elementary,5931 Yorkwood Road,PK - 5, ,0,0,PK - 5,21239,Traditional,0b8bca16-1a67-4fe5-8447-79f571e2ead2,-76.58392194277046,39.36272066672285
161,162,79,362,Bard Early College High School Baltimore,2801 N Dukeland Street,9 - 12, ,0,0,9 - 12,21216,Contract,ea7db854-770c-4520-8343-bcd51787dcd9,-76.66518824178094,39.32172070744879
162,163,84,84,Thomas Johnson Elementary/Middle,100 E Heath Street,PK - 8, ,0,0,PK - 8,21230,Traditional,1c8504e9-79c5-4f5e-ac2b-b8f2080de3d3,-76.611426,39.270706
163,164,332,332,The Green School of Baltimore,2851 Kentucky Avenue,K - 5, ,0,0,K - 5,21213,Charter,cb809240-bc30-4512-b021-0796e9a55849,-76.57185854352879,39.3242597
164,165,170,374,Vanguard Collegiate Middle,5000 Truesdale Avenue,6 - 8, ,0,0,6 - 8,21206,Traditional,deb14b2d-f9b7-4b56-a9da-a47efe96a318,-76.546263,39.318566
165,166,0,303,Home and Hospital Program,2000 Edgewood Street,K - 12, ,0,0,K - 12,21216,Alternative,6b014243-0ee2-4569-a872-54d16a80c689,-76.6762021,39.3105339
166,167,0,734,Elementary/Middle Alternative Program,1500 Harlem Avenue,K - 8, ,0,0,K - 8,21217,Alternative,f815e25d-1988-40d1-ad93-aa13b2b9413b,-76.6414358,39.2971713
167,168,0,854,Career Academy,101 W 24th St,11 - 12, ,0,0,11 - 12,21218,Alternative,325a8e3e-6c01-4fce-9b98-34c01c096693,-76.618425,39.316209
168,169,0,855,Success Academy,2201 Pinewood Ave,9 - 12, ,0,0,9 - 12,21214,Alternative,868e9627-c625-43d9-acc2-44c51402f543,-76.570969,39.366324
169,170,0,858,Youth Opportunity,1510 W Lafayette Ave,9 - 12, ,0,0,9 - 12,21217,Alternative,ddbe0681-8da6-4b47-b646-9d698f6dc374,-76.642331,39.2990635
170,171,0,884,Eager Street Academy,401 E Eager St,6 - 12, ,0,0,6 - 12,21202,Alternative,c92ddcfb-eae6-4c99-9e78-5519932ac83b,-76.609665,39.301199
